InvoiceNo,before_distance,after_distance,distance_saved,improvement_percent
536365,23,2.0,21.0,91.30434782608695
536366,9,0.0,9.0,100.0
536367,48,0.0,48.0,100.0
536368,17,7.0,10.0,58.82352941176471
536369,2,0.0,2.0,100.0
536370,71,0.0,71.0,100.0
536371,5,1.0,4.0,80.0
536372,9,0.0,9.0,100.0
536373,62,9.0,53.0,85.48387096774194
536374,2,0.0,2.0,100.0
536375,62,9.0,53.0,85.48387096774194
536376,8,0.0,8.0,100.0
536377,9,0.0,9.0,100.0
536378,70,6.0,64.0,91.42857142857143
536380,5,0.0,5.0,100.0
536381,135,1.0,134.0,99.25925925925925
536382,47,0.0,47.0,100.0
536384,62,4.0,58.0,93.54838709677419
536385,32,7.0,25.0,78.125
536386,8,0.0,8.0,100.0
536387,21,0.0,21.0,100.0
536388,66,0.0,66.0,100.0
536389,63,0.0,63.0,100.0
536390,81,20.0,61.0,75.30864197530865
536392,37,0.0,37.0,100.0
536393,4,0.0,4.0,100.0
536394,53,2.0,51.0,96.22641509433963
536395,66,0.0,66.0,100.0
536396,69,9.0,60.0,86.95652173913044
536397,10,0.0,10.0,100.0
536398,78,0.0,78.0,100.0
536399,9,0.0,9.0,100.0
536400,5,0.0,5.0,100.0
536401,256,6.0,250.0,97.65625
536402,13,1.0,12.0,92.3076923076923
536403,5,0.0,5.0,100.0
536404,119,6.0,113.0,94.9579831932773
536405,7,0.0,7.0,100.0
536406,63,9.0,54.0,85.71428571428571
536407,9,0.0,9.0,100.0
536408,197,0.0,197.0,100.0
536409,210,5.0,205.0,97.61904761904762
536412,224,11.0,213.0,95.08928571428571
536415,256,8.0,248.0,96.875
536416,21,0.0,21.0,100.0
536420,57,0.0,57.0,100.0
536423,49,0.0,49.0,100.0
536425,77,0.0,77.0,100.0
536437,20,4.0,16.0,80.0
536446,102,4.0,98.0,96.07843137254902
536460,56,0.0,56.0,100.0
536463,6,0.0,6.0,100.0
536464,264,11.0,253.0,95.83333333333334
536466,7,7.0,0.0,0.0
536477,56,5.0,51.0,91.07142857142857
536488,111,7.0,104.0,93.69369369369369
536500,52,2.0,50.0,96.15384615384616
536502,13,2.0,11.0,84.61538461538461
536508,6,0.0,6.0,100.0
536514,29,0.0,29.0,100.0
536520,235,2.0,233.0,99.14893617021276
536521,6,0.0,6.0,100.0
536522,182,4.0,178.0,97.8021978021978
536523,47,8.0,39.0,82.97872340425532
536524,15,0.0,15.0,100.0
536525,47,0.0,47.0,100.0
536526,31,0.0,31.0,100.0
536527,57,0.0,57.0,100.0
536528,170,9.0,161.0,94.70588235294117
536529,32,0.0,32.0,100.0
536530,96,8.0,88.0,91.66666666666666
536531,88,1.0,87.0,98.86363636363636
536532,284,6.0,278.0,97.88732394366197
536533,16,0.0,16.0,100.0
536534,21,0.0,21.0,100.0
536535,48,0.0,48.0,100.0
536536,12,0.0,12.0,100.0
536537,48,0.0,48.0,100.0
536538,112,1.0,111.0,99.10714285714286
536539,118,0.0,118.0,100.0
536540,88,0.0,88.0,100.0
536541,2,0.0,2.0,100.0
536542,58,6.0,52.0,89.65517241379311
536544,2072,53.0,2019.0,97.44208494208493
536551,102,0.0,102.0,100.0
536555,8,0.0,8.0,100.0
536556,37,0.0,37.0,100.0
536557,235,11.0,224.0,95.31914893617022
536558,6,0.0,6.0,100.0
536559,38,0.0,38.0,100.0
536560,59,7.0,52.0,88.13559322033898
536561,64,0.0,64.0,100.0
536562,69,3.0,66.0,95.65217391304348
536563,29,0.0,29.0,100.0
536564,8,0.0,8.0,100.0
536565,7,0.0,7.0,100.0
536566,35,0.0,35.0,100.0
536567,34,3.0,31.0,91.17647058823529
536568,5,0.0,5.0,100.0
536569,267,3.0,264.0,98.87640449438202
536570,16,4.0,12.0,75.0
536571,67,0.0,67.0,100.0
536572,81,8.0,73.0,90.12345679012346
536573,16,0.0,16.0,100.0
536574,2,0.0,2.0,100.0
536575,29,2.0,27.0,93.10344827586206
536576,66,7.0,59.0,89.39393939393939
536577,16,0.0,16.0,100.0
536578,36,0.0,36.0,100.0
536579,10,0.0,10.0,100.0
536580,29,0.0,29.0,100.0
536581,0,0.0,0.0,
536582,87,0.0,87.0,100.0
536583,4,0.0,4.0,100.0
536584,5,0.0,5.0,100.0
536585,3,0.0,3.0,100.0
536586,28,0.0,28.0,100.0
536587,89,2.0,87.0,97.75280898876404
536588,47,13.0,34.0,72.3404255319149
536590,50,2.0,48.0,96.0
536591,160,0.0,160.0,100.0
536592,2317,31.0,2286.0,98.66206301251619
536593,24,0.0,24.0,100.0
536594,12,2.0,10.0,83.33333333333334
536595,33,0.0,33.0,100.0
536596,23,0.0,23.0,100.0
536597,102,1.0,101.0,99.01960784313727
536598,14,0.0,14.0,100.0
536599,29,0.0,29.0,100.0
536600,37,9.0,28.0,75.67567567567568
536601,9,0.0,9.0,100.0
536602,46,2.0,44.0,95.65217391304348
536603,9,0.0,9.0,100.0
536604,38,4.0,34.0,89.47368421052632
536605,65,0.0,65.0,100.0
536607,56,2.0,54.0,96.42857142857143
536608,7,0.0,7.0,100.0
536609,62,9.0,53.0,85.48387096774194
536610,9,0.0,9.0,100.0
536611,57,0.0,57.0,100.0
536612,58,9.0,49.0,84.48275862068965
536613,61,4.0,57.0,93.44262295081968
536614,9,0.0,9.0,100.0
536615,44,4.0,40.0,90.9090909090909
536616,2,0.0,2.0,100.0
536617,40,0.0,40.0,100.0
536618,63,4.0,59.0,93.65079365079364
536619,7,7.0,0.0,0.0
536620,89,0.0,89.0,100.0
536621,39,0.0,39.0,100.0
536623,193,0.0,193.0,100.0
536624,103,8.0,95.0,92.23300970873787
536626,5,0.0,5.0,100.0
536627,59,8.0,51.0,86.4406779661017
536628,62,9.0,53.0,85.48387096774194
536629,9,0.0,9.0,100.0
536630,62,9.0,53.0,85.48387096774194
536631,9,0.0,9.0,100.0
536632,98,0.0,98.0,100.0
536633,61,8.0,53.0,86.88524590163934
536634,61,0.0,61.0,100.0
536635,80,0.0,80.0,100.0
536636,5,1.0,4.0,80.0
536637,210,9.0,201.0,95.71428571428572
536638,260,4.0,256.0,98.46153846153847
536639,64,0.0,64.0,100.0
536640,32,0.0,32.0,100.0
536641,6,0.0,6.0,100.0
536643,106,0.0,106.0,100.0
536663,18,0.0,18.0,100.0
536667,49,6.0,43.0,87.75510204081633
536670,6,0.0,6.0,100.0
536671,14,0.0,14.0,100.0
536672,9,0.0,9.0,100.0
536673,19,0.0,19.0,100.0
536674,84,0.0,84.0,100.0
536676,37,5.0,32.0,86.48648648648648
536681,57,0.0,57.0,100.0
536685,63,9.0,54.0,85.71428571428571
536688,9,0.0,9.0,100.0
536690,63,9.0,54.0,85.71428571428571
536693,9,0.0,9.0,100.0
536698,71,4.0,67.0,94.36619718309859
536707,54,0.0,54.0,100.0
536732,98,7.0,91.0,92.85714285714286
536733,60,6.0,54.0,90.0
536735,4,0.0,4.0,100.0
536736,19,2.0,17.0,89.47368421052632
536738,31,0.0,31.0,100.0
536739,56,6.0,50.0,89.28571428571429
536740,30,0.0,30.0,100.0
536741,74,0.0,74.0,100.0
536742,215,7.0,208.0,96.74418604651163
536743,133,0.0,133.0,100.0
536744,54,0.0,54.0,100.0
536745,39,0.0,39.0,100.0
536746,64,0.0,64.0,100.0
536747,58,0.0,58.0,100.0
536748,22,0.0,22.0,100.0
536749,205,2.0,203.0,99.02439024390245
536750,69,9.0,60.0,86.95652173913044
536751,9,0.0,9.0,100.0
536752,69,9.0,60.0,86.95652173913044
536753,9,0.0,9.0,100.0
536754,197,5.0,192.0,97.46192893401016
536755,51,0.0,51.0,100.0
536756,50,1.0,49.0,98.0
536759,83,0.0,83.0,100.0
536761,35,0.0,35.0,100.0
536762,85,5.0,80.0,94.11764705882352
536763,39,2.0,37.0,94.87179487179486
536769,122,5.0,117.0,95.90163934426229
536771,30,7.0,23.0,76.66666666666667
536777,19,0.0,19.0,100.0
536778,62,12.0,50.0,80.64516129032258
536779,0,0.0,0.0,
536780,19,0.0,19.0,100.0
536781,6,0.0,6.0,100.0
536782,122,0.0,122.0,100.0
536783,159,3.0,156.0,98.11320754716981
536784,110,3.0,107.0,97.27272727272728
536785,24,0.0,24.0,100.0
536786,5,0.0,5.0,100.0
536787,51,9.0,42.0,82.35294117647058
536788,3,0.0,3.0,100.0
536789,9,0.0,9.0,100.0
536790,62,9.0,53.0,85.48387096774194
536791,9,0.0,9.0,100.0
536792,3,0.0,3.0,100.0
536793,57,12.0,45.0,78.94736842105263
536794,19,0.0,19.0,100.0
536795,28,3.0,25.0,89.28571428571429
536796,405,13.0,392.0,96.79012345679013
536797,35,0.0,35.0,100.0
536798,116,0.0,116.0,100.0
536799,66,0.0,66.0,100.0
536800,86,7.0,79.0,91.86046511627907
536801,63,1.0,62.0,98.4126984126984
536802,32,0.0,32.0,100.0
536803,3,0.0,3.0,100.0
536804,87,0.0,87.0,100.0
536805,84,8.0,76.0,90.47619047619048
536806,20,0.0,20.0,100.0
536808,56,0.0,56.0,100.0
536809,4,0.0,4.0,100.0
536810,5,0.0,5.0,100.0
536811,4,0.0,4.0,100.0
536813,64,8.0,56.0,87.5
536819,66,0.0,66.0,100.0
536821,78,12.0,66.0,84.61538461538461
536823,16,0.0,16.0,100.0
536824,1,2.0,-1.0,-100.0
536830,6,4.0,2.0,33.33333333333333
536831,18,0.0,18.0,100.0
536832,32,0.0,32.0,100.0
536833,115,7.0,108.0,93.91304347826087
