StockCode,cluster_name,recommended_zone,picking_priority,actual_distance_saved,business_recommendation
85123A,High-Volume Products,Zone A,7831474,58.0,Place closer to packing area due to high product movement.
85099B,High-Volume Products,Zone A,7340746,,Place closer to packing area due to high product movement.
22423,High-Volume Products,Zone A,7033544,,Place closer to packing area due to high product movement.
47566,High-Volume Products,Zone A,5865485,,Place closer to packing area due to high product movement.
20725,High-Volume Products,Zone A,5430550,,Place closer to packing area due to high product movement.
22197,High-Volume Products,Zone A,4936032,,Place closer to packing area due to high product movement.
84879,High-Volume Products,Zone A,4877160,,Place closer to packing area due to high product movement.
22720,High-Volume Products,Zone A,4754705,,Place closer to packing area due to high product movement.
21212,High-Volume Products,Zone A,4539480,,Place closer to packing area due to high product movement.
22383,High-Volume Products,Zone A,4437105,,Place closer to packing area due to high product movement.
22457,High-Volume Products,Zone A,4382741,,Place closer to packing area due to high product movement.
20727,High-Volume Products,Zone A,4377847,,Place closer to packing area due to high product movement.
22469,High-Volume Products,Zone A,4231123,,Place closer to packing area due to high product movement.
21931,High-Volume Products,Zone A,4112032,,Place closer to packing area due to high product movement.
22386,High-Volume Products,Zone A,4086390,,Place closer to packing area due to high product movement.
22961,High-Volume Products,Zone A,4039112,,Place closer to packing area due to high product movement.
22411,High-Volume Products,Zone A,4029075,,Place closer to packing area due to high product movement.
22086,High-Volume Products,Zone A,3912680,59.0,Place closer to packing area due to high product movement.
22666,High-Volume Products,Zone A,3890722,54.0,Place closer to packing area due to high product movement.
22960,High-Volume Products,Zone A,3887288,53.0,Place closer to packing area due to high product movement.
22382,High-Volume Products,Zone A,3864380,56.0,Place closer to packing area due to high product movement.
23203,High-Volume Products,Zone A,3829641,55.0,Place closer to packing area due to high product movement.
20728,High-Volume Products,Zone A,3829500,54.0,Place closer to packing area due to high product movement.
82482,High-Volume Products,Zone A,3759800,53.0,Place closer to packing area due to high product movement.
22699,High-Volume Products,Zone A,3662535,52.0,Place closer to packing area due to high product movement.
22384,High-Volume Products,Zone A,3638420,,Place closer to packing area due to high product movement.
23298,High-Volume Products,Zone A,3590418,,Place closer to packing area due to high product movement.
22993,High-Volume Products,Zone A,3581674,,Place closer to packing area due to high product movement.
22178,High-Volume Products,Zone A,3579724,,Place closer to packing area due to high product movement.
22697,High-Volume Products,Zone A,3515110,,Place closer to packing area due to high product movement.
20724,High-Volume Products,Zone A,3499512,,Place closer to packing area due to high product movement.
22727,High-Volume Products,Zone A,3490371,,Place closer to packing area due to high product movement.
20726,High-Volume Products,Zone A,3396780,,Place closer to packing area due to high product movement.
23209,High-Volume Products,Zone A,3354390,,Place closer to packing area due to high product movement.
21080,High-Volume Products,Zone A,3325778,,Place closer to packing area due to high product movement.
22077,High-Volume Products,Zone A,3279470,,Place closer to packing area due to high product movement.
22726,High-Volume Products,Zone A,3275160,,Place closer to packing area due to high product movement.
23206,High-Volume Products,Zone A,3216780,,Place closer to packing area due to high product movement.
21790,High-Volume Products,Zone A,3148400,,Place closer to packing area due to high product movement.
22139,High-Volume Products,Zone A,3144778,,Place closer to packing area due to high product movement.
22470,High-Volume Products,Zone A,3141300,,Place closer to packing area due to high product movement.
85099C,High-Volume Products,Zone A,3136746,,Place closer to packing area due to high product movement.
23199,High-Volume Products,Zone A,3115908,,Place closer to packing area due to high product movement.
23084,High-Volume Products,Zone A,3104262,,Place closer to packing area due to high product movement.
84946,High-Volume Products,Zone A,3073380,,Place closer to packing area due to high product movement.
22629,High-Volume Products,Zone A,3018600,,Place closer to packing area due to high product movement.
22138,High-Volume Products,Zone A,3006546,,Place closer to packing area due to high product movement.
82494L,High-Volume Products,Zone A,3004820,,Place closer to packing area due to high product movement.
22355,High-Volume Products,Zone A,2980278,,Place closer to packing area due to high product movement.
21977,High-Volume Products,Zone A,2968504,,Place closer to packing area due to high product movement.
20914,High-Volume Products,Zone A,2933920,,Place closer to packing area due to high product movement.
21929,High-Volume Products,Zone A,2909860,,Place closer to packing area due to high product movement.
23301,High-Volume Products,Zone A,2906992,,Place closer to packing area due to high product movement.
21731,High-Volume Products,Zone A,2884053,,Place closer to packing area due to high product movement.
22630,High-Volume Products,Zone A,2878100,,Place closer to packing area due to high product movement.
20712,High-Volume Products,Zone A,2872064,,Place closer to packing area due to high product movement.
21232,High-Volume Products,Zone A,2856147,,Place closer to packing area due to high product movement.
21181,High-Volume Products,Zone A,2841735,,Place closer to packing area due to high product movement.
23201,High-Volume Products,Zone A,2841216,,Place closer to packing area due to high product movement.
84991,High-Volume Products,Zone A,2790360,,Place closer to packing area due to high product movement.
22112,High-Volume Products,Zone A,2788500,,Place closer to packing area due to high product movement.
22722,High-Volume Products,Zone A,2773050,,Place closer to packing area due to high product movement.
20719,High-Volume Products,Zone A,2764727,,Place closer to packing area due to high product movement.
21175,High-Volume Products,Zone A,2748173,,Place closer to packing area due to high product movement.
23245,High-Volume Products,Zone A,2693205,,Place closer to packing area due to high product movement.
21928,High-Volume Products,Zone A,2669472,,Place closer to packing area due to high product movement.
23202,High-Volume Products,Zone A,2664249,,Place closer to packing area due to high product movement.
21034,High-Volume Products,Zone A,2657421,,Place closer to packing area due to high product movement.
85099F,High-Volume Products,Zone A,2653616,,Place closer to packing area due to high product movement.
22910,High-Volume Products,Zone A,2651060,,Place closer to packing area due to high product movement.
22090,High-Volume Products,Zone A,2643774,,Place closer to packing area due to high product movement.
22728,High-Volume Products,Zone A,2595645,,Place closer to packing area due to high product movement.
22558,High-Volume Products,Zone A,2585428,,Place closer to packing area due to high product movement.
21754,High-Volume Products,Zone A,2561769,,Place closer to packing area due to high product movement.
22111,High-Volume Products,Zone A,2526567,,Place closer to packing area due to high product movement.
