InvoiceNo,total_picking_distance
536365,23
536366,9
536367,48
536368,17
536369,2
536370,71
536371,5
536372,9
536373,62
536374,2
536375,62
536376,8
536377,9
536378,70
536380,5
536381,135
536382,47
536384,62
536385,32
536386,8
536387,21
536388,66
536389,63
536390,81
536392,37
536393,4
536394,53
536395,66
536396,69
536397,10
536398,78
536399,9
536400,5
536401,256
536402,13
536403,5
536404,119
536405,7
536406,63
536407,9
536408,197
536409,210
536412,224
536415,256
536416,21
536420,57
536423,49
536425,77
536437,20
536446,102
536460,56
536463,6
536464,264
536466,7
536477,56
536488,111
536500,52
536502,13
536508,6
536514,29
536520,235
536521,6
536522,182
536523,47
536524,15
536525,47
536526,31
536527,57
536528,170
536529,32
536530,96
536531,88
536532,284
536533,16
536534,21
536535,48
536536,12
536537,48
536538,112
536539,118
536540,88
536541,2
536542,58
536544,2072
536551,102
536555,8
536556,37
536557,235
536558,6
536559,38
536560,59
536561,64
536562,69
536563,29
536564,8
536565,7
536566,35
536567,34
536568,5
536569,267
536570,16
536571,67
536572,81
536573,16
536574,2
536575,29
536576,66
536577,16
536578,36
536579,10
536580,29
536581,0
536582,87
536583,4
536584,5
536585,3
536586,28
536587,89
536588,47
536590,50
536591,160
536592,2317
536593,24
536594,12
536595,33
536596,23
536597,102
536598,14
536599,29
536600,37
536601,9
536602,46
536603,9
536604,38
536605,65
536607,56
536608,7
536609,62
536610,9
536611,57
536612,58
536613,61
536614,9
536615,44
536616,2
536617,40
536618,63
536619,7
536620,89
536621,39
536623,193
536624,103
536626,5
536627,59
536628,62
536629,9
536630,62
536631,9
536632,98
536633,61
536634,61
536635,80
536636,5
536637,210
536638,260
536639,64
536640,32
536641,6
536643,106
536663,18
536667,49
536670,6
536671,14
536672,9
536673,19
536674,84
536676,37
536681,57
536685,63
536688,9
536690,63
536693,9
536698,71
536707,54
536732,98
536733,60
536735,4
536736,19
536738,31
536739,56
536740,30
536741,74
536742,215
536743,133
536744,54
536745,39
536746,64
536747,58
536748,22
536749,205
536750,69
536751,9
536752,69
536753,9
536754,197
536755,51
536756,50
536759,83
536761,35
536762,85
536763,39
536769,122
536771,30
536777,19
536778,62
536779,0
536780,19
536781,6
536782,122
536783,159
536784,110
536785,24
536786,5
536787,51
536788,3
536789,9
536790,62
536791,9
536792,3
536793,57
536794,19
536795,28
536796,405
536797,35
536798,116
536799,66
536800,86
536801,63
536802,32
536803,3
536804,87
536805,84
536806,20
536808,56
536809,4
536810,5
536811,4
536813,64
536819,66
536821,78
536823,16
536824,1
536830,6
536831,18
536832,32
536833,115
536834,6
536835,1
536836,99
536837,110
536838,10
536839,65
536840,44
536841,101
536842,41
536843,6
536844,18
536845,116
536846,274
536847,39
536848,12
536849,17
536851,68
536852,19
536856,161
536857,69
536858,22
536859,80
536860,54
536861,39
536862,325
536863,158
536864,191
536865,549
536866,1
536874,259
536876,2255
536883,8
536884,8
536885,58
536890,13
536920,31
536938,62
536943,106
536944,22
536945,225
536946,100
536947,166
536954,1
536956,54
536957,58
536960,63
536967,3
536968,4
536969,2
536970,5
536971,36
536972,60
536973,128
536974,50
536975,281
536976,69
536977,58
536980,44
536981,87
536982,580
536983,26
536984,117
536985,49
536986,23
536987,215
536988,144
536989,100
536990,22
536991,24
536992,5
536993,125
536994,11
537022,91
537023,95
537025,57
537026,37
537030,62
537031,32
537034,300
537035,5
537036,128
537037,34
537038,26
537040,6
537041,99
537042,202
537044,63
537045,119
537046,53
537047,149
537048,9
537049,58
537050,190
537051,134
537052,22
537053,5
537054,149
537055,58
537057,192
537058,50
537059,84
537065,251
537067,25
537077,106
537081,95
537086,36
537090,2
537111,100
537117,2
537126,437
537127,4
537128,75
537129,70
537130,74
537131,124
537133,209
537134,42
537135,485
537136,135
537137,256
537138,126
537139,9
537140,140
537141,167
537142,63
537144,376
537153,170
537154,213
537155,122
537156,67
537158,42
537159,131
537160,92
537163,78
537176,64
537179,58
537192,220
537193,128
537194,5
537195,118
537196,290
537197,53
537198,11
537199,123
537200,116
537201,289
537202,214
537204,126
537205,42
537206,21
537207,88
537208,203
537209,177
537210,42
537211,60
537212,111
537213,16
537214,58
537215,24
537216,65
537217,11
537218,77
537219,269
537220,0
537221,37
537222,96
537223,44
537224,467
537225,260
537226,46
537227,77
537228,5
537229,5
537230,3
537231,76
537233,31
537235,16
537236,39
537237,2341
537238,63
537239,49
537240,2196
537241,67
537242,128
537243,12
537244,37
537245,13
537246,17
537247,14
537248,16
537249,4
537250,49
537252,2
537253,67
537254,230
537255,80
537256,47
537257,40
537258,23
537262,230
537265,141
537298,32
537301,47
537312,25
537313,20
537332,54
537334,167
537335,82
537346,148
537350,49
537351,109
537354,145
537359,38
537360,7
537362,230
537365,92
537366,63
537367,5
537368,69
537369,186
537370,189
537371,61
537372,86
537374,294
537375,193
537376,68
537377,59
537378,68
537380,9
537381,101
537382,230
537384,22
537385,46
537386,4
537387,49
537388,75
537389,65
537390,40
537391,181
537392,96
537393,139
537394,16
537395,193
537396,113
537397,45
537399,176
537400,209
537403,51
537404,48
537405,196
537407,21
537409,71
537410,2
537411,14
537412,2
537415,33
537418,144
537419,50
537420,62
537421,202
537422,106
537423,23
537424,12
537428,86
537429,85
537433,12
537434,2644
537435,56
537440,57
537441,162
537442,5
537446,99
537447,36
537448,2
537456,10
537457,68
537458,61
537459,41
537460,1
537461,2
537462,49
537463,155
537464,122
537465,90
537467,84
537468,81
537469,4
537470,16
537471,4
537472,26
537476,6
537484,115
537489,61
537509,4
537523,34
537534,4
537538,55
537567,122
537592,23
537593,46
537594,52
537595,79
537598,71
537599,3
