StockCode,order_frequency,total_quantity,avg_quantity_per_order,related_product_count,cluster_name,recommended_zone,distance_from_packing,picking_priority,current_distance,distance_saved
85099B,2089,48371,22.93551446183025,3513,High-Volume Products,Zone A,10.0,101047019,60,50.0
85123A,2198,37641,16.70705725699068,3562,High-Volume Products,Zone A,10.0,82734918,60,50.0
22197,1392,56898,40.12552891396333,3545,High-Volume Products,Zone A,10.0,79202016,60,50.0
84879,1455,36362,24.63550135501355,3351,High-Volume Products,Zone A,10.0,52906710,60,50.0
21212,1320,36396,26.920118343195266,3438,High-Volume Products,Zone A,10.0,48042720,60,50.0
47566,1685,18283,10.761035903472632,3480,High-Volume Products,Zone A,10.0,30806855,60,50.0
23084,994,30739,30.225172074729596,3122,High-Volume Products,Zone A,10.0,30554566,60,50.0
20725,1565,19432,12.283185840707965,3469,High-Volume Products,Zone A,10.0,30411080,60,50.0
84077,535,54951,102.5205223880597,3125,High-Volume Products,Zone A,10.0,29398785,60,50.0
22423,1988,13851,6.901345291479821,3537,High-Volume Products,Zone A,10.0,27535788,60,50.0
22386,1218,21448,17.40909090909091,3354,High-Volume Products,Zone A,10.0,26123664,60,50.0
23203,1231,20485,16.493558776167472,3110,High-Volume Products,Zone A,10.0,25217035,60,50.0
22178,1037,24275,23.318924111431315,3451,High-Volume Products,Zone A,10.0,25173175,60,50.0
22086,1160,19329,16.32516891891892,3372,High-Volume Products,Zone A,10.0,22421640,60,50.0
22469,1201,17963,14.735849056603774,3522,High-Volume Products,Zone A,10.0,21573563,60,50.0
21977,869,24820,28.204545454545453,3415,High-Volume Products,Zone A,10.0,21568580,60,50.0
23166,247,78033,312.132,2784,High-Volume Products,Zone A,10.0,19274151,60,50.0
22961,1162,16396,14.085910652920962,3475,High-Volume Products,Zone A,10.0,19052152,60,50.0
20724,1032,17761,17.012452107279692,3390,High-Volume Products,Zone A,10.0,18329352,60,50.0
84946,905,19209,21.0625,3395,High-Volume Products,Zone A,10.0,17384145,60,50.0
21931,1184,13651,11.432998324958124,3472,High-Volume Products,Zone A,10.0,16162784,60,50.0
22383,1285,12518,9.584992343032159,3452,High-Volume Products,Zone A,10.0,16085630,60,50.0
