order_frequency,total_quantity,avg_quantity_per_order,related_product_count,cluster,cluster_name
71,860,12.112676056338028,2067,2,High-Volume Products
22,303,13.772727272727272,908,0,Active/Regular Products
29,192,6.620689655172414,1001,0,Active/Regular Products
3,5,1.6666666666666667,85,1,Slow-Moving Products
5,16,3.2,196,1,Slow-Moving Products
4,17,4.25,199,1,Slow-Moving Products
91,1295,14.23076923076923,2373,2,High-Volume Products
196,2856,14.571428571428571,2732,2,High-Volume Products
175,2229,12.737142857142857,2893,2,High-Volume Products
113,1615,14.29203539823009,2803,2,High-Volume Products
12,143,11.916666666666666,465,3,Low-Movement Products
138,6591,47.76086956521739,2868,2,High-Volume Products
518,23826,45.996138996139,3267,2,High-Volume Products
145,2090,14.413793103448276,2953,2,High-Volume Products
102,458,4.490196078431373,2355,0,Active/Regular Products
60,321,5.35,1739,0,Active/Regular Products
88,313,3.5568181818181817,2369,0,Active/Regular Products
84,644,7.666666666666667,2108,0,Active/Regular Products
321,2844,8.85981308411215,2929,2,High-Volume Products
456,3950,8.662280701754385,3161,2,High-Volume Products
144,776,5.388888888888889,2395,0,Active/Regular Products
62,87,1.403225806451613,973,3,Low-Movement Products
84,127,1.511904761904762,958,0,Active/Regular Products
26,33,1.2692307692307692,777,3,Low-Movement Products
89,200,2.247191011235955,2157,0,Active/Regular Products
97,228,2.350515463917526,2232,0,Active/Regular Products
72,240,3.333333333333333,2406,0,Active/Regular Products
131,451,3.442748091603053,2671,0,Active/Regular Products
3,3,1.0,343,3,Low-Movement Products
70,2892,41.31428571428572,1437,2,High-Volume Products
3,30,10.0,313,1,Slow-Moving Products
46,1749,38.02173913043478,1120,2,High-Volume Products
35,1220,34.857142857142854,968,2,High-Volume Products
54,13328,246.8148148148148,1000,2,High-Volume Products
24,662,27.58333333333333,506,2,High-Volume Products
65,1273,19.584615384615383,1207,2,High-Volume Products
17,84,4.941176470588236,1527,3,Low-Movement Products
4,840,210.0,89,2,High-Volume Products
2,98,49.0,46,1,Slow-Moving Products
68,8900,130.88235294117646,1328,2,High-Volume Products
14,65,4.642857142857143,597,3,Low-Movement Products
67,1460,21.791044776119403,2415,2,High-Volume Products
5,504,100.8,167,2,High-Volume Products
13,479,36.84615384615385,1351,2,High-Volume Products
33,1166,35.333333333333336,1039,2,High-Volume Products
3,49,16.333333333333332,53,1,Slow-Moving Products
18,475,26.38888888888889,465,2,High-Volume Products
167,5800,34.73053892215569,1786,2,High-Volume Products
22,700,31.818181818181817,547,2,High-Volume Products
1,25,25.0,26,1,Slow-Moving Products
248,7201,29.036290322580644,2069,2,High-Volume Products
134,4075,30.41044776119403,1717,2,High-Volume Products
8,20,2.5,308,3,Low-Movement Products
8,28,3.5,377,3,Low-Movement Products
41,371,9.048780487804878,2504,0,Active/Regular Products
