StockCode,order_frequency,total_quantity,avg_quantity_per_order,related_product_count
10002,71,860,12.112676056338028,2067
10080,22,303,13.772727272727273,908
10120,29,192,6.620689655172414,1001
10123C,3,5,1.6666666666666667,85
10124A,5,16,3.2,196
10124G,4,17,4.25,199
10125,91,1295,14.23076923076923,2373
10133,196,2856,14.571428571428571,2732
10135,175,2229,12.737142857142857,2893
11001,113,1615,14.29203539823009,2803
15030,12,143,11.916666666666666,465
15034,138,6591,47.76086956521739,2868
15036,518,23826,45.996138996138995,3267
15039,145,2090,14.413793103448276,2953
15044A,102,458,4.490196078431373,2355
15044B,60,321,5.35,1739
15044C,88,313,3.5568181818181817,2369
15044D,84,644,7.666666666666667,2108
15056BL,321,2844,8.85981308411215,2929
15056N,456,3950,8.662280701754385,3161
15056P,144,776,5.388888888888889,2395
15056bl,62,87,1.403225806451613,973
15056n,84,127,1.5119047619047619,958
15056p,26,33,1.2692307692307692,777
15058A,89,200,2.247191011235955,2157
15058B,97,228,2.350515463917526,2232
15058C,72,240,3.3333333333333335,2406
15060B,131,451,3.4427480916030535,2671
15060b,3,3,1.0,343
16008,70,2892,41.31428571428572,1437
16010,3,30,10.0,313
16011,46,1749,38.02173913043478,1120
16012,35,1220,34.857142857142854,968
16014,54,13328,246.8148148148148,1000
16015,24,662,27.583333333333332,506
16016,65,1273,19.584615384615386,1207
16020C,17,84,4.9411764705882355,1527
16033,4,840,210.0,89
16043,2,98,49.0,46
16045,68,8900,130.88235294117646,1328
16046,14,65,4.642857142857143,597
16048,67,1460,21.791044776119403,2415
16049,5,504,100.8,167
16052,13,479,36.84615384615385,1351
16054,33,1166,35.333333333333336,1039
16151A,3,49,16.333333333333332,53
16156L,18,475,26.38888888888889,465
16156S,167,5800,34.73053892215569,1786
16161G,22,700,31.818181818181817,547
16161M,1,25,25.0,26
16161P,248,7201,29.036290322580644,2069
16161U,134,4075,30.41044776119403,1717
16162L,8,20,2.5,308
16162M,8,28,3.5,377
16168M,41,371,9.048780487804878,2504
16169E,149,4563,30.624161073825505,1727
16169K,8,200,25.0,404
16169M,25,660,26.4,734
16169N,1,25,25.0,43
16169P,2,50,25.0,89
16202A,2,7,3.5,96
16202B,2,29,14.5,145
16202E,3,15,5.0,117
16206B,2,7,3.5,133
16207A,34,60,1.7647058823529411,1687
16207B,18,29,1.6111111111111112,1512
16216,45,3333,74.06666666666666,1772
16218,64,3821,59.703125,2274
16219,100,3048,30.48,2763
16225,102,813,7.970588235294118,2771
16235,168,3068,18.261904761904763,3062
16236,136,1438,10.573529411764707,2977
16237,290,4991,17.21034482758621,3208
16238,134,1396,10.417910447761194,3007
16244B,2,7,3.5,77
16248B,7,13,1.8571428571428572,487
16254,17,40,2.3529411764705883,1546
16258A,59,472,8.0,2456
16259,31,3380,109.03225806451613,696
17001,1,72,72.0,13
17003,239,23020,96.31799163179916,3023
17007B,2,24,12.0,38
17011F,7,81,11.571428571428571,702
17012A,65,323,4.969230769230769,2595
17012B,85,525,6.176470588235294,2817
17012C,85,420,4.9411764705882355,2814
17012D,97,461,4.752577319587629,2850
17012E,10,44,4.4,1509
17012F,94,448,4.76595744680851,2900
17013D,13,535,41.15384615384615,915
17014A,8,155,19.375,710
17021,47,2391,50.87234042553192,1171
17028J,1,6,6.0,18
17038,34,1525,44.85294117647059,2122
17084A,7,200,28.571428571428573,256
17084J,8,225,28.125,224
17084N,101,1264,12.514851485148515,2877
17084P,39,423,10.846153846153847,2388
17084R,27,4032,149.33333333333334,971
17090A,10,109,10.9,291
17090D,12,29,2.4166666666666665,404
17091A,25,171,6.84,636
17091J,95,2084,21.936842105263157,2148
17096,24,2545,106.04166666666667,1669
17107D,46,170,3.6956521739130435,1437
17109D,5,61,12.2,277
17129F,57,588,10.31578947368421,2538
17136A,17,352,20.705882352941178,489
17164B,9,27,3.0,300
17165D,7,27,3.857142857142857,300
17174,3,9,3.0,193
17191A,2,4,2.0,33
18007,30,5884,196.13333333333333,1917
18094C,42,192,4.571428571428571,2099
18097A,4,5,1.25,205
18097C,69,695,10.072463768115941,2444
18098C,49,213,4.346938775510204,1987
18098c,12,52,4.333333333333333,394
20615,95,309,3.2526315789473683,2772
20616,71,194,2.732394366197183,2709
20617,43,93,2.1627906976744184,2307
20618,76,148,1.9473684210526316,2526
20619,99,262,2.6464646464646466,2764
20622,51,185,3.627450980392157,2546
20652,78,265,3.3974358974358974,2729
20653,33,73,2.212121212121212,2340
20654,49,152,3.1020408163265305,2591
20655,99,197,1.9898989898989898,2748
20657,33,73,2.212121212121212,1880
20658,105,433,4.123809523809523,2415
20659,62,158,2.5483870967741935,2693
20661,33,44,1.3333333333333333,2181
20662,20,31,1.55,1911
20663,20,25,1.25,2024
20664,18,32,1.7777777777777777,1540
20665,156,461,2.9551282051282053,3043
20666,17,30,1.7647058823529411,1584
20667,16,20,1.25,1476
20668,215,12883,59.92093023255814,2935
20669,96,304,3.1666666666666665,2899
20670,11,14,1.2727272727272727,1246
20671,2,10,5.0,98
20674,205,1563,7.624390243902439,2769
20675,322,3120,9.68944099378882,2882
20676,448,5023,11.212053571428571,3144
20677,333,3674,11.033033033033034,2944
20678,1,4,4.0,119
20679,326,1710,5.245398773006135,2924
20681,46,140,3.0434782608695654,1658
20682,237,1235,5.210970464135021,2996
20684,35,80,2.2857142857142856,1574
20685,696,4088,5.873563218390805,3254
20686,77,267,3.4675324675324677,2431
20694,16,43,2.6875,1372
20695,4,5,1.25,213
20696,30,54,1.8,2323
20697,11,19,1.7272727272727273,625
20698,8,17,2.125,499
20699,41,97,2.3658536585365852,2121
20700,54,73,1.3518518518518519,2350
20701,18,25,1.3888888888888888,1562
20702,42,134,3.1904761904761907,1235
20703,1,1,1.0,34
20704,44,216,4.909090909090909,1758
20705,28,143,5.107142857142857,930
20707,149,464,3.1140939597315436,2780
20711,522,5007,9.591954022988507,3169
20712,863,9773,11.324449594438008,3327
20713,657,11429,17.395738203957382,3276
20716,73,400,5.47945205479452,2171
20717,412,2855,6.929611650485437,3248
20718,575,4769,8.29391304347826,3293
20719,833,13290,15.95438175270108,3318
20723,722,9793,13.563711911357341,3320
20724,1032,17761,17.210271317829456,3390
20725,1565,19432,12.416613418530352,3469
20726,1017,9909,9.743362831858407,3339
20727,1273,12195,9.57973291437549,3438
20728,1150,11786,10.248695652173913,3329
20731,16,92,5.75,926
20733,205,1234,6.019512195121951,3134
20734,26,158,6.076923076923077,221
20735,112,623,5.5625,2569
20748,34,57,1.6764705882352942,930
20749,383,1762,4.600522193211488,2721
20750,385,1747,4.537662337662337,2649
20751,198,971,4.904040404040404,2893
20752,148,407,2.75,2747
20754,304,1457,4.792763157894737,3081
20755,62,306,4.935483870967742,2277
20756,22,63,2.8636363636363638,822
20757,33,158,4.787878787878788,1370
20758,42,159,3.7857142857142856,1301
20759,20,64,3.2,834
20760,21,69,3.2857142857142856,857
20761,63,120,1.9047619047619047,2288
20762,56,106,1.8928571428571428,2164
20763,27,73,2.7037037037037037,1559
20764,76,142,1.868421052631579,2584
20765,59,102,1.728813559322034,1971
20766,57,122,2.1403508771929824,2285
20767,79,250,3.1645569620253164,2564
