StockCode,order_frequency,total_quantity,avg_quantity_per_order,related_product_count,cluster_name,recommended_zone,distance_from_packing,picking_priority,current_distance,distance_saved,recommended_distance
23309,407,8275,19.60900473933649,2973,High-Volume Products,Zone A,10.0,1210418,60,50.0,10.0
22086,1160,19329,16.32516891891892,3372,High-Volume Products,Zone A,10.0,3912680,60,50.0,10.0
85123A,2198,37641,16.70705725699068,3562,High-Volume Products,Zone A,10.0,7831474,60,50.0,10.0
22577,538,10608,19.14801444043321,3172,High-Volume Products,Zone A,10.0,1707074,60,50.0,10.0
84836,535,5937,10.893577981651376,3187,High-Volume Products,Zone A,10.0,1705580,60,50.0,10.0
22998,534,12366,22.985130111524164,3189,High-Volume Products,Zone A,10.0,1703460,60,50.0,10.0
22616,512,26119,49.94072657743786,3319,High-Volume Products,Zone A,10.0,1699840,60,50.0,10.0
15036,518,23826,45.907514450867055,3267,High-Volume Products,Zone A,10.0,1692824,60,50.0,10.0
22189,524,8284,15.749049429657797,3213,High-Volume Products,Zone A,10.0,1684136,60,50.0,10.0
22595,467,6788,14.320675105485233,3224,High-Volume Products,Zone A,10.0,1506075,60,50.0,10.0
17003,239,23020,95.51867219917013,3023,High-Volume Products,Zone A,10.0,722736,60,50.0,10.0
71459,440,13605,30.85034013605442,3061,High-Volume Products,Zone A,10.0,1347280,60,50.0,10.0
84077,535,54951,102.5205223880597,3125,High-Volume Products,Zone A,10.0,1672410,60,50.0,10.0
20971,522,10993,20.899239543726235,3200,High-Volume Products,Zone A,10.0,1670922,60,50.0,10.0
21094,527,8758,16.462406015037594,3168,High-Volume Products,Zone A,10.0,1670063,60,50.0,10.0
21231,509,6054,11.847358121330725,3252,High-Volume Products,Zone A,10.0,1655777,60,50.0,10.0
23310,245,12050,48.983739837398375,2676,High-Volume Products,Zone A,10.0,655865,60,50.0,10.0
20668,215,12883,59.09633027522936,2935,High-Volume Products,Zone A,10.0,631240,60,50.0,10.0
22666,1111,8269,7.389633601429848,3501,High-Volume Products,Zone A,10.0,3890722,60,50.0,10.0
22960,1132,8695,7.6743159752868495,3433,High-Volume Products,Zone A,10.0,3887288,60,50.0,10.0
22382,1157,10427,8.957903780068728,3339,High-Volume Products,Zone A,10.0,3864380,60,50.0,10.0
23203,1231,20485,16.493558776167472,3110,High-Volume Products,Zone A,10.0,3829641,60,50.0,10.0
20728,1150,11786,10.142857142857142,3329,High-Volume Products,Zone A,10.0,3829500,60,50.0,10.0
82482,1100,8986,8.124773960216999,3417,High-Volume Products,Zone A,10.0,3759800,60,50.0,10.0
22699,1065,9864,9.19291705498602,3438,High-Volume Products,Zone A,10.0,3662535,60,50.0,10.0
22384,1090,10487,9.524977293369664,3337,High-Volume Products,Zone A,10.0,3638420,60,50.0,10.0
23298,1146,8466,7.291989664082688,3132,High-Volume Products,Zone A,10.0,3590418,60,50.0,10.0
22993,1073,12649,11.604587155963303,3337,High-Volume Products,Zone A,10.0,3581674,60,50.0,10.0
22178,1037,24275,23.318924111431315,3451,High-Volume Products,Zone A,10.0,3579724,60,50.0,10.0
22697,1013,7278,7.12133072407045,3469,High-Volume Products,Zone A,10.0,3515110,60,50.0,10.0
20724,1032,17761,17.012452107279692,3390,High-Volume Products,Zone A,10.0,3499512,60,50.0,10.0
22727,1051,7800,7.351555136663525,3320,High-Volume Products,Zone A,10.0,3490371,60,50.0,10.0
20726,1017,9909,9.620388349514563,3339,High-Volume Products,Zone A,10.0,3396780,60,50.0,10.0
23209,1098,13170,11.82226211849192,3054,High-Volume Products,Zone A,10.0,3354390,60,50.0,10.0
21080,986,13202,13.136318407960198,3372,High-Volume Products,Zone A,10.0,3325778,60,50.0,10.0
22077,955,9172,9.455670103092784,3433,High-Volume Products,Zone A,10.0,3279470,60,50.0,10.0
22726,980,6419,6.490394337714863,3341,High-Volume Products,Zone A,10.0,3275160,60,50.0,10.0
23206,1036,12147,11.535612535612536,3104,High-Volume Products,Zone A,10.0,3216780,60,50.0,10.0
21790,926,14521,15.53048128342246,3399,High-Volume Products,Zone A,10.0,3148400,60,50.0,10.0
22139,962,4518,4.686721991701245,3268,High-Volume Products,Zone A,10.0,3144778,60,50.0,10.0
22470,925,9887,10.563034188034187,3395,High-Volume Products,Zone A,10.0,3141300,60,50.0,10.0
85099C,933,13900,14.74019088016967,3361,High-Volume Products,Zone A,10.0,3136746,60,50.0,10.0
23199,978,14908,15.119675456389452,3185,High-Volume Products,Zone A,10.0,3115908,60,50.0,10.0
23084,994,30739,30.2251720747296,3122,High-Volume Products,Zone A,10.0,3104262,60,50.0,10.0
84946,905,19209,21.0625,3395,High-Volume Products,Zone A,10.0,3073380,60,50.0,10.0
22629,900,14249,15.744751381215467,3353,High-Volume Products,Zone A,10.0,3018600,60,50.0,10.0
22138,934,4937,5.2633262260127935,3218,High-Volume Products,Zone A,10.0,3006546,60,50.0,10.0
82494L,910,6735,7.344601962922574,3301,High-Volume Products,Zone A,10.0,3004820,60,50.0,10.0
22355,882,18124,20.364044943820225,3378,High-Volume Products,Zone A,10.0,2980278,60,50.0,10.0
21977,869,24820,28.204545454545453,3415,High-Volume Products,Zone A,10.0,2968504,60,50.0,10.0
20914,880,6361,7.123180291153416,3333,High-Volume Products,Zone A,10.0,2933920,60,50.0,10.0
21929,865,11006,12.621559633027523,3363,High-Volume Products,Zone A,10.0,2909860,60,50.0,10.0
23301,913,8807,9.57282608695652,3183,High-Volume Products,Zone A,10.0,2906992,60,50.0,10.0
21731,849,14001,16.37543859649123,3396,High-Volume Products,Zone A,10.0,2884053,60,50.0,10.0
22630,850,11780,13.72960372960373,3385,High-Volume Products,Zone A,10.0,2878100,60,50.0,10.0
20712,863,9773,11.24626006904488,3327,High-Volume Products,Zone A,10.0,2872064,60,50.0,10.0
21232,831,11842,14.165071770334928,3436,High-Volume Products,Zone A,10.0,2856147,60,50.0,10.0
21181,845,12274,14.322053675612604,3362,High-Volume Products,Zone A,10.0,2841735,60,50.0,10.0
23201,906,13366,14.67178924259056,3135,High-Volume Products,Zone A,10.0,2841216,60,50.0,10.0
84991,828,18189,21.55094786729858,3369,High-Volume Products,Zone A,10.0,2790360,60,50.0,10.0
22112,858,6017,6.900229357798165,3249,High-Volume Products,Zone A,10.0,2788500,60,50.0,10.0
22722,834,5966,7.043683589138134,3324,High-Volume Products,Zone A,10.0,2773050,60,50.0,10.0
20719,833,13290,15.821428571428571,3318,High-Volume Products,Zone A,10.0,2764727,60,50.0,10.0
21175,809,12207,15.033251231527094,3396,High-Volume Products,Zone A,10.0,2748173,60,50.0,10.0
23245,873,6345,7.243150684931507,3084,High-Volume Products,Zone A,10.0,2693205,60,50.0,10.0
21928,806,10468,12.939431396786157,3311,High-Volume Products,Zone A,10.0,2669472,60,50.0,10.0
23202,879,10941,12.348758465011286,3030,High-Volume Products,Zone A,10.0,2664249,60,50.0,10.0
21034,871,1878,2.066006600660066,3050,High-Volume Products,Zone A,10.0,2657421,60,50.0,10.0
85099F,812,17237,21.123774509803923,3267,High-Volume Products,Zone A,10.0,2653616,60,50.0,10.0
22910,820,10594,12.74849578820698,3232,High-Volume Products,Zone A,10.0,2651060,60,50.0,10.0
22090,798,7562,9.428927680798004,3312,High-Volume Products,Zone A,10.0,2643774,60,50.0,10.0
22728,783,5356,6.77117572692794,3314,High-Volume Products,Zone A,10.0,2595645,60,50.0,10.0
22558,772,8676,11.19483870967742,3348,High-Volume Products,Zone A,10.0,2585428,60,50.0,10.0
21754,777,2759,3.532650448143406,3296,High-Volume Products,Zone A,10.0,2561769,60,50.0,10.0
22111,771,4655,5.960307298335468,3276,High-Volume Products,Zone A,10.0,2526567,60,50.0,10.0
22379,748,6896,9.194666666666668,3345,High-Volume Products,Zone A,10.0,2502808,60,50.0,10.0
22698,765,5788,7.536458333333333,3242,High-Volume Products,Zone A,10.0,2480895,60,50.0,10.0
22356,742,9716,12.86887417218543,3340,High-Volume Products,Zone A,10.0,2479022,60,50.0,10.0
POST,1126,3150,2.797513321492007,2166,High-Volume Products,Zone A,10.0,2440042,60,50.0,10.0
21733,741,7872,10.45418326693227,3275,High-Volume Products,Zone A,10.0,2427516,60,50.0,10.0
21166,723,10324,14.18131868131868,3344,High-Volume Products,Zone A,10.0,2418435,60,50.0,10.0
20723,722,9793,13.488980716253444,3320,High-Volume Products,Zone A,10.0,2397762,60,50.0,10.0
23300,758,6809,8.889033942558747,3151,High-Volume Products,Zone A,10.0,2389216,60,50.0,10.0
84978,728,12493,17.043656207366986,3280,High-Volume Products,Zone A,10.0,2388568,60,50.0,10.0
22659,707,11504,15.933518005540169,3365,High-Volume Products,Zone A,10.0,2379762,60,50.0,10.0
22326,732,8535,11.643929058663028,3201,High-Volume Products,Zone A,10.0,2343864,60,50.0,10.0
84378,685,6332,9.15028901734104,3409,High-Volume Products,Zone A,10.0,2335850,60,50.0,10.0
22554,704,7803,10.928571428571429,3291,High-Volume Products,Zone A,10.0,2317568,60,50.0,10.0
21326,340,10535,30.44797687861272,3028,High-Volume Products,Zone A,10.0,1029860,60,50.0,10.0
22624,711,1883,2.648382559774965,3250,High-Volume Products,Zone A,10.0,2311461,60,50.0,10.0
